Year1,Day1,Hr1,Year2,Day2,Hr2
2010,207,14,2010,230,23
2010,268,0,2010,288,23
2010,302,0,2010,318,16
2010,331,0,2010,348,23
2010,360,0,2010,365,23
2011,1,0,2011,13,23
2011,24,0,2011,43,0
2011,55,0,2011,74,0
2011,83,0,2011,103,0
2011,113,0,2011,132,12
2011,143,0,2011,160,12
2011,172,0,2011,191,0
2011,201,20,2011,221,4
2011,230,18,2011,250,0
2011,260,13,2011,276,0
2011,293,0,2011,308,0
2011,320,0,2011,335,0
2011,350,0,2011,365,23
2012,15,0,2012,31,23
2012,44,0,2012,61,23
2012,73,0,2012,90,23
2012,103,0,2012,121,23
2012,132,0,2012,150,23
2012,162,0,2012,180,23
2012,190,0,2012,208,23
2012,220,0,2012,238,23
2012,250,0,2012,268,23
2012,280,0,2012,296,23
2012,309,0,2012,326,23
2012,339,0,2012,356,23
2013,3,0,2013,20,23
2013,34,0,2013,50,23
2013,63,0,2013,80,23
2013,92,0,2013,109,23
2013,122,0,2013,138,23
2013,151,0,2013,168,23
2013,178,0,2013,196,23
2013,209,0,2013,227,23
2013,238,0,2013,256,23
2013,268,0,2013,286,23
2013,298,0,2013,315,23
2013,328,0,2013,344,23
2013,357,0,2013,365,23
2014,1,0,2014,9,23
2014,22,0,2014,38,23
2014,51,0,2014,69,23
2014,81,0,2014,99,23
2014,110,0,2014,128,23
2014,139,0,2014,158,23
2014,169,0,2014,188,23
2014,198,0,2014,216,23
2014,228,0,2014,245,23
2014,258,0,2014,275,23
2014,286,0,2014,305,23
2014,316,0,2014,334,23
2014,346,0,2014,363,23
2015,11,0,2015,28,23
2015,40,12,2015,58,23
2015,70,12,2015,87,23
2015,99,18,2015,117,23
2015,129,12,2015,147,12
2015,159,0,2015,177,18
2015,188,12,2015,207,0
2015,217,12,2015,235,23
2015,247,0,2015,265,23
2015,276,0,2015,294,23
2015,305,0,2015,322,23
2015,335,0,2015,352,23
2015,364,12,2015,365,23
2016,1,0,2016,17,23
2016,29,0,2016,47,23
2016,59,0,2016,76,23
2016,89,12,2016,106,23
2016,119,0,2016,135,23
2016,149,12,2016,166,12
2016,177,12,2016,196,12
2016,207,0,2016,225,12
2016,236,0,2016,255,12
2016,266,0,2016,284,12
2016,295,0,2016,313,23
2016,324,12,2016,343,23
2016,354,0,2016,366,23
2017,18,0,2017,35,23
2017,47,12,2017,65,23
2017,77,0,2017,94,23
2017,106,20,2017,125,12
2017,136,12,2017,153,23
2017,166,0,2017,183,23
2017,195,12,2017,212,23
2017,225,12,2017,242,23
2017,255,0,2017,272,12
2017,284,0,2017,302,12
2017,313,0,2017,332,12
2017,341,12,2017,362,12
2018,7,0,2018,26,12
2018,36,12,2018,55,23
2018,65,12,2018,84,12
2018,95,12,2018,113,23
2018,125,0,2018,142,12
2018,155,0,2018,172,12
2018,185,0,2018,202,12
2018,215,0,2018,232,0
2018,244,12,2018,262,0
2018,273,12,2018,291,23
2018,303,0,2018,321,12
2018,332,0,2018,351,23
2018,361,12,2018,365,23
2019,1,0,2019,15,23
2019,26,0,2019,45,12
2019,55,12,2019,75,4
2019,84,12,2019,103,23
2019,114,0,2019,132,23
2019,144,8,2019,162,12
2019,173,12,2019,191,23
2019,203,23,2019,221,23
2019,233,12,2019,251,23
2019,263,0,2019,280,23
2019,292,0,2019,310,23
2019,322,0,2019,340,12
2019,351,12,2019,365,23
2020,1,0,2020,4,12
2020,16,0,2020,34,0
2020,45,0,2020,64,12
2020,75,0,2020,94,0
2020,104,0,2020,123,0
2020,133,12,2020,152,8
2020,163,12,2020,182,0
2020,192,0,2020,210,23
2020,222,0,2020,240,0
2020,252,0,2020,268,23
2020,282,0,2020,299,23
2020,311,0,2020,329,0
2020,341,0,2020,359,0
2021,4,12,2021,22,12
2021,34,0,2021,52,0
2021,63,0,2021,82,0
2021,92,12,2021,112,12
2021,122,0,2021,141,12
2021,151,0,2021,170,12
2021,180,0,2021,199,0
2021,210,0,2021,228,0
2021,239,6,2021,258,0
2021,270,6,2021,287,0
2021,299,0,2021,316,12
2021,329,0,2021,348,0
2021,358,12,2021,365,23
2022,1,0,2022,11,12
2022,23,0,2022,42,0
2022,52,12,2022,72,0
2022,82,0,2022,99,12
2022,111,12,2022,130,12
2022,140,12,2022,160,0
2022,170,0,2022,189,6
2022,199,0,2022,219,0
2022,229,0,2022,248,0
2022,258,12,2022,275,23
2022,288,0,2022,307,3
2022,317,12,2022,336,2
2022,347,12,2022,365,12
2023,12,1,2023,30,12
2023,42,0,2023,60,12
2023,72,0,2023,90,0
2023,101,6,2023,119,12
2023,131,0,2023,149,12
2023,159,0,2023,179,6
2023,189,12,2023,209,0
2023,218,12,2023,238,6
2023,247,12,2023,267,12
